600a4068  native=0000d1d4  asp3=0000d0d4
600a4084  native=0082a18c  asp3=0081ef00
600a40d0  native=00000000  asp3=c6867e9b
600a40d4  native=00000000  asp3=00000010
600a40e4  native=0001c385  asp3=0001c38f
600a42fc  native=00000070  asp3=00000000
600a4300  native=ffffffff  asp3=00000000
600a4318  native=000003ff  asp3=00000000
600a433c  native=00000005  asp3=00000000
600a4360  native=00000004  asp3=00000003
600a43a0  native=00000000  asp3=00010001
600a43b0  native=00000000  asp3=00000010
600a43b4  native=00000040  asp3=00000140
600a4408  native=00001414  asp3=00000014
600a440c  native=00011414  asp3=00010014
600a4410  native=00051414  asp3=00050014
600a4414  native=000b1411  asp3=000b0011
600a4418  native=000a1412  asp3=000a0012
600a441c  native=00091412  asp3=00090012
600a4420  native=00901312  asp3=00900012
600a4424  native=00911312  asp3=00910012
600a4428  native=00921312  asp3=00920012
600a442c  native=00921312  asp3=00920012
600a4430  native=13131313  asp3=00000000
600a4434  native=12121313  asp3=00000000
600a4438  native=0f0f0f11  asp3=3f3f0000
600a44cc  native=00000040  asp3=00000000
600a44d0  native=00390000  asp3=00000000
600a4510  native=00001041  asp3=00000000
600a4c30  native=0000013c  asp3=0000002c
600a4dd0  native=55777555  asp3=00000000
600a4dd4  native=00003377  asp3=00000000
600a4dd8  native=00000071  asp3=00000070
600a4e54  native=00000000  asp3=00000310
600a5490  native=00111110  asp3=00100000
600a54ac  native=14140014  asp3=00000000
600a54e0  native=00080000  asp3=00000000
600a54ec  native=14a00000  asp3=00000000
600ad070  native=000077ef  asp3=0003f7cd
600ad0a4  native=00000100  asp3=00000000
600ad470  native=000077ef  asp3=0003f7cd
600ad4a4  native=00000100  asp3=00000000
--- MAC stable diffs: 42 ---
